Metric,Clinical,ECG
Accuracy,0.8369565217391305,0.872778297474275
Precision,0.8272727272727273,0.9001116071428571
Recall,0.8921568627450981,0.8756786102062974
F1 Score,0.8584905660377359,0.8877270225646671
AUC,0.926231468197035,0.9422862154132511
Average Precision,0.9421909736562246,0.9626452226659645
Brier,0.11295241621974286,0.09428448515147095
