,0
Accuracy,0.4603174603174603
Macro Precision,0.33522267206477735
Macro Recall,0.33228715728715724
Macro F1,0.32915254153387186
Balanced Accuracy,0.33228715728715724
Cohen Kappa,0.2625236701669822
Matthews Corr (MCC),0.2649001497648977
ROC-AUC (OvR),0.7276018820403811
Log Loss,1.2865360512658564
