accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.8159529566764832,0.8949893116950989,0.4001355767250061,0.8272894620895386,0.9228995442390442,0.3852362334728241,0.0010000000474974513
0.8470839858055115,0.9226543307304382,0.3445846140384674,0.8444990515708923,0.9206957817077637,0.34860730171203613,0.0010000000474974513
0.8532968163490295,0.9284220933914185,0.331990122795105,0.8475722074508667,0.9354923367500305,0.33018332719802856,0.0010000000474974513
0.8608457446098328,0.9342165589332581,0.31801265478134155,0.8623232841491699,0.938633918762207,0.31107833981513977,0.0010000000474974513
0.8675930500030518,0.9382738471031189,0.30923041701316833,0.8205285668373108,0.9367333650588989,0.3799023926258087,0.0010000000474974513
0.8710000514984131,0.9422522783279419,0.29923370480537415,0.8675476312637329,0.9406041502952576,0.3028731644153595,0.0010000000474974513
0.871534526348114,0.9432419538497925,0.297078400850296,0.86631840467453,0.9407410621643066,0.3051934838294983,0.0010000000474974513
0.8737390637397766,0.945927083492279,0.29002341628074646,0.8607867360115051,0.9406347870826721,0.3153607249259949,0.0010000000474974513
0.8733382225036621,0.9466774463653564,0.28668007254600525,0.8543331027030945,0.9393811225891113,0.3163207471370697,0.0010000000474974513
0.8797515034675598,0.9489567875862122,0.2809762954711914,0.855869710445404,0.9423280358314514,0.3219553232192993,0.0010000000474974513
0.8857638835906982,0.9540587663650513,0.26673176884651184,0.8703134655952454,0.9442809820175171,0.2924093008041382,0.0005000000237487257
0.8897054195404053,0.9564793109893799,0.25958284735679626,0.8675476312637329,0.9429371953010559,0.308641642332077,0.0005000000237487257
0.8903734087944031,0.9578104019165039,0.2557443380355835,0.8623232841491699,0.9428600668907166,0.31001123785972595,0.0005000000237487257
0.8931124210357666,0.9589729309082031,0.25165072083473206,0.8607867360115051,0.943321704864502,0.33156445622444153,0.0005000000237487257
0.8942481279373169,0.9607288241386414,0.24685177206993103,0.8700061440467834,0.9406251311302185,0.31434378027915955,0.0005000000237487257
0.9006613492965698,0.965583086013794,0.23084765672683716,0.8696988224983215,0.94390869140625,0.30016300082206726,0.0002500000118743628
0.9060057401657104,0.9671289920806885,0.22547116875648499,0.8684695959091187,0.9410654902458191,0.30960482358932495,0.0002500000118743628
0.9098803997039795,0.9687407612800598,0.21999479830265045,0.8696988224983215,0.9429750442504883,0.31507477164268494,0.0002500000118743628
0.9099472165107727,0.9704658389091492,0.21431930363178253,0.867240309715271,0.9434621930122375,0.31641319394111633,0.0002500000118743628
