accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.7845028042793274,0.8663754463195801,0.4511754512786865,0.6370000243186951,0.8810148239135742,0.6108455061912537
0.8274027109146118,0.9065787196159363,0.37601354718208313,0.7310000061988831,0.9086588025093079,0.4997894763946533
0.8536747694015503,0.9238455891609192,0.3440435826778412,0.8240000009536743,0.9038732051849365,0.38536983728408813
0.859660804271698,0.9284833669662476,0.3279530107975006,0.828000009059906,0.9101892113685608,0.3827551007270813
0.8683072924613953,0.9367539882659912,0.3101324737071991,0.8349999785423279,0.9186475276947021,0.3671781122684479
0.8693049550056458,0.9398147463798523,0.30430153012275696,0.8370000123977661,0.9167263507843018,0.35952115058898926
0.8696374893188477,0.938541054725647,0.30602800846099854,0.8420000076293945,0.9187600612640381,0.36016833782196045
0.8686398267745972,0.9421067833900452,0.30060675740242004,0.8370000123977661,0.9189156293869019,0.35892051458358765
0.8849351406097412,0.9492320418357849,0.2799208462238312,0.8199999928474426,0.9065514802932739,0.385783314704895
0.8836049437522888,0.9484326839447021,0.28043460845947266,0.843999981880188,0.9224347472190857,0.3590025305747986
0.894579291343689,0.9548110961914062,0.2639705240726471,0.8370000123977661,0.9187662601470947,0.37904030084609985
0.8952444195747375,0.959080159664154,0.25217732787132263,0.8389999866485596,0.9213074445724487,0.3654046356678009
0.8989025354385376,0.9630463123321533,0.24074877798557281,0.8410000205039978,0.9198301434516907,0.3595924973487854
0.9008979201316833,0.9637004137039185,0.23670662939548492,0.8289999961853027,0.91126549243927,0.42804738879203796
0.8959095478057861,0.9618045091629028,0.24586105346679688,0.8349999785423279,0.9092767238616943,0.4022601246833801
0.9065513610839844,0.9630389213562012,0.24116984009742737,0.7889999747276306,0.9010271430015564,0.46307697892189026
0.8995676636695862,0.966939389705658,0.22741258144378662,0.8230000138282776,0.9129104614257812,0.40530499815940857
0.9142001867294312,0.9688230752944946,0.21678495407104492,0.8399999737739563,0.9197238683700562,0.38173189759254456
