accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6887263059616089,0.755359411239624,0.5766499042510986,0.7450000047683716,0.8223897218704224,0.5414040088653564
0.7761889100074768,0.849269449710846,0.4679451584815979,0.6940000057220459,0.8163273930549622,0.545367419719696
0.7988027930259705,0.8737300038337708,0.4332481622695923,0.7919999957084656,0.871224582195282,0.4320952892303467
0.828732967376709,0.89987713098526,0.38402390480041504,0.8119999766349792,0.8770333528518677,0.44276195764541626
0.8390422463417053,0.9058434367179871,0.37276315689086914,0.8080000281333923,0.8824307322502136,0.4239925146102905
0.8407050371170044,0.9114253520965576,0.3701121211051941,0.8130000233650208,0.8811642527580261,0.4288444519042969
0.8456934094429016,0.9196521043777466,0.34799832105636597,0.8180000185966492,0.8805729150772095,0.4359349310398102
0.8543398976325989,0.9294760823249817,0.3285991847515106,0.8190000057220459,0.8809248208999634,0.4412628412246704
0.8716328740119934,0.9347172975540161,0.3146301507949829,0.8309999704360962,0.8902384042739868,0.4407413601875305
0.8786165714263916,0.9427794218063354,0.2943108081817627,0.8209999799728394,0.8910077214241028,0.4466521739959717
0.8892583847045898,0.9528586864471436,0.2698880732059479,0.8309999704360962,0.8861463069915771,0.44095733761787415
0.8955770134925842,0.9562516212463379,0.25736984610557556,0.8109999895095825,0.8862547874450684,0.45796409249305725
0.8999002575874329,0.9596460461616516,0.2505543529987335,0.8169999718666077,0.8809146285057068,0.47880831360816956
0.9112071990966797,0.968329668045044,0.22127318382263184,0.8019999861717224,0.8729922771453857,0.5381705164909363
0.9178583025932312,0.9727254509925842,0.20457780361175537,0.8009999990463257,0.8830055594444275,0.5678066611289978
0.9205188155174255,0.9738309979438782,0.2000139057636261,0.8209999799728394,0.8783488273620605,0.5777683854103088
0.9132025241851807,0.9689090847969055,0.22113408148288727,0.8069999814033508,0.8855651617050171,0.5242049694061279
0.9434652328491211,0.9861035943031311,0.14858032763004303,0.8140000104904175,0.8731560111045837,0.5813332200050354
