Feature,Importance
cp,0.1516645146449217
oldpeak,0.10417297398292677
age,0.1001090826447583
thalach,0.09631562876262027
ca,0.08688446884894174
thal,0.08365695746478467
chol,0.08026977430482325
exang,0.07094118543200185
trestbps,0.0643836413854257
sex,0.03629083105153322
chol_missing,0.025125849140456742
restecg,0.023809675910512983
slope_missing,0.01896660968470607
slope,0.018470215766576314
thal_missing,0.01579399327808461
fbs,0.013506538839536389
ca_missing,0.00963805885738941
