accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.7133355736732483,0.7913718819618225,0.544093132019043,0.6480000019073486,0.8453831076622009,0.5868086218833923
0.8077818155288696,0.8722802996635437,0.43424561619758606,0.8040000200271606,0.8677647113800049,0.4430287480354309
0.8264050483703613,0.8920382857322693,0.4019922614097595,0.7960000038146973,0.8724706172943115,0.4533034861087799
0.8440306186676025,0.9160466194152832,0.36284780502319336,0.8180000185966492,0.8843518495559692,0.44428735971450806
0.8510143160820007,0.9216235876083374,0.34462106227874756,0.8159999847412109,0.8902731537818909,0.41512036323547363
0.8570003509521484,0.9301364421844482,0.32695940136909485,0.8119999766349792,0.8888020515441895,0.42143240571022034
0.8782839775085449,0.9472661018371582,0.2878997325897217,0.8230000138282776,0.8910689949989319,0.43519335985183716
0.8972397446632385,0.9562821984291077,0.2587381601333618,0.8180000185966492,0.8857452273368835,0.46787410974502563
0.8922514319419861,0.9589644074440002,0.25321078300476074,0.8240000009536743,0.8833268880844116,0.48218679428100586
0.906883955001831,0.9653599858283997,0.23226600885391235,0.8109999895095825,0.8841862082481384,0.4955257475376129
0.9128699898719788,0.9734430909156799,0.20348672568798065,0.7919999957084656,0.8760941028594971,0.4906880855560303
0.9285001754760742,0.979074239730835,0.18041308224201202,0.7990000247955322,0.8767222762107849,0.5732026696205139
0.9368141293525696,0.9846044778823853,0.1571963131427765,0.7860000133514404,0.857143759727478,0.5932070016860962
0.9391419887542725,0.9846417307853699,0.1566506177186966,0.8209999799728394,0.8822035789489746,0.606774091720581
0.9537745118141174,0.9900304079055786,0.1258024424314499,0.8100000023841858,0.884570837020874,0.6333393454551697
